restaurant,aspect,sentence_count,tf_summary,mmr_summary
Village Park Restaurant,food,60,delicious nasi lemak fried chicken crowded usual visit place nasi lemak great fried chicken,delicious nasi lemak fried chicken food great crispy taste deliciousservice great staff knew crowded setup new table u table still wrap plastic
Village Park Restaurant,service,18,nasi lemak bad need wait table food good service bad star improve staff attitude,food good service bad star improve staff attitude nasi lemak bad need wait table
Village Park Restaurant,atmosphere,10,great nasi lemak crowded mean good ordered nasi lemak breakfast one best nasi lemak preparation smooth fast bit crowded make lively p need go early avoid long queue,place deserves fame atmosphere hectic super long queue crowded outddor seating free seating need chope table ordering indoor seating system queue super long queue place deserves fame atmosphere hectic super long queue crowded outddor seating free seating need chope table ordering indoor seating system queue super long queue ayam goreng set come nice chiken leg deep fried fragrant speices rice superb fluffy ample amount cocunut combination sambal ikan bilis peanut ayam goreng blended well one plate enough however queue deters ordering another plate dishers sold visit managed eat lontong vege okra tried ayam rendang well would prefer goreng version definitely worth visit heard place hesitated trying go took year bring thought another nasi lemak well conclusion much better adam road nasi lemak singapore rumoured frequented royal brunei family great nasi lemak crowded mean good
Village Park Restaurant,price,12,food amazing still good worth time lot people nasi lemak adam goreng nice rm nasi lemak sotong normal rm,one favorite nasi lemak joint good food affordable price get packed depending time day best order take away know uptown like know parking serious issue however alternative parking starling mall help yummy nasi lemak worth wait high price forget juicy fried chicken yummy licious sambal
Ishin Japanese Dining,food,24,food fresh delicious service good translated google environment good food fresh delicious translated google environment good food fresh delicious original,best japanese food ever love wagyu much excited cod fish sperm price high valuable food fresh delicious service good
Ishin Japanese Dining,service,30,food service amazing good food environment service,worry parking issue parking valet service service crew attentive well food portion reasonable price fresh delicious one best japanese food kl worry parking issue parking valet service service crew attentive well food portion reasonable price fresh delicious one best japanese food kl yellow tail sashimi die sushi amazing cut seafood generous recommended make reservation good food environment service
Ishin Japanese Dining,atmosphere,10,good food n environment good environment food,fresh scrumptious sashimi nice ambience good environment food
Ishin Japanese Dining,price,13,good tasting japanese food reasonable price fantastic food good service come high price,good service great food cosy environment affordable price highly recommended good tasting japanese food reasonable price
Aliyaa,food,42,wonderful service delicious food food good though spicy,delicious sri lankan cuisine bit spicy dish taste flavor wonderful good service food decent hospitsble food portion little price
Aliyaa,service,23,food good service food good service excellent,food good service best sri lankan restaurant kl excellent service friendly staff love mutton bone paratal sweet appam
Aliyaa,atmosphere,10,great food atmosphere good food comfortable ambience,good food comfortable ambience great food atmosphere
Aliyaa,price,10,food great worth expensive yes worth yes go yesss,food great worth go theie amazing crab curry slightly expensive side make sure reserve table go
Vin's Restaurant,food,32,famous italian food much western food tried lamb ok pizza good lamb rack delicious,serf good italian dish pizza fantastic also decently good selection whisky offered serf good italian dish pizza fantastic also decently good selection whisky offered glass good place good food chat drink glad kitchen still open takeaway lockdown thoroughly enjoyed garlic bread pure bliss salmon pasta little fishy burnt butter mushroom pasta delicious food better expected glad kitchen still open takeaway lockdown thoroughly enjoyed garlic bread pure bliss salmon pasta little fishy burnt butter mushroom pasta delicious food better expected circumstance think wait staff could done better job letting u know food done come ask fear would sorely cold time got home eat
Vin's Restaurant,service,33,food service great food great staff friendly,food service great nice staff
Vin's Restaurant,atmosphere,10,good food good ambience good food ambiance,delicious food cozy atmosphere love place good vibe good food nice neighborhood place
Vin's Restaurant,price,7,good food way expensive bit pricey worth food good recommended,good food way expensive came birthday celebration service amazing kept checking u make sure well served price reasonable menu definitely come back
MTR,food,65,good variety south indian food option good taste authentic south indian dosa crisp dosa simply unmatchable best dish onion rava masala dosa,perfect fix missing masala dosa bangalore awesome dosas poori uppma good taste authentic south indian vegetarian food great service must go place highly recommended
MTR,service,17,great good quality food accessible easy locate great quality food good service one comfortable indian restaurant nice authentic indian food brickfield definitely try rava dosa rava masala dosa vada one best ever tried staff friendly helpful one comfortable indian restaurant nice authentic indian food brickfield definitely try rava dosa rava masala dosa vada one best ever tried staff friendly helpful never stingy sauce feel free ask need usually sufficiently provided,mtr couple time least experience different time first food definitely one best authentic south indian food one get malaysia taste take back mtr mtr couple time least experience different time first food definitely one best authentic south indian food one get malaysia taste take back mtr mission road bangalore however would probably stay away desert particularly mtr special chandrahara big disappointment hard crusted gravy top thin coming people friendly helpful always carry smile bad come serving maybe staff used waiting people restaurant like first time waited minute dosa people came even served second time remind three time get glass hot water everytime reminded looked like first time hearing request ask whether would visit recommend place friend yes definitely would tasty food enough time spare service may bit slow good tasty food moderate price great service friendly staff polite provide proper suggestion good tasty food moderate price great service friendly staff polite provide proper suggestion tourist requested booked return taxi hotel
MTR,atmosphere,5,one fav childhood restaurant south india bangalore nostalgic memory visiting place n eating indian steam rice cake elder used describe rice cake smooth gentle fragrant like jasmine flower one fav childhood restaurant south india bangalore nostalgic memory visiting place n eating indian steam rice cake elder used describe rice cake smooth gentle fragrant like jasmine flower sambar die drink like say restaurant kuala lumpur go place ever deep craving masala dosa ummm mouth watering podi dosa another killer glad happy kl dont miss going way bangalore loved place clean hygienic place amazing location taste namma bengaluru preserved presented well staff really humble courteous want namma bengaluru food looking,anywhere near place eat anywhere else even stay nearby week eat without getting bored food awesome price may seem compared india price far best place eat kl sentral hotel neat clean good atmosphere great staff pleasant see mtr kualalampur located little india serf variety indian north south vegetarian dish usual masala dosa favourite ambience clean beautiful importantly opportunity meet kannada speaking person opened till pm
MTR,price,11,indian veg food good food reasonable price good quality south indian food price bit high side,today step breakfast ordered single idly plain thosai white chutney good sambar taste like sambar anyway price thosai extremely expensive pair idly cost rm never today step breakfast ordered single idly plain thosai white chutney good sambar taste like sambar anyway price thosai extremely expensive pair idly cost rm never go back paid rm thosai idli easily veg briyani price paid never go back good quality south indian food price bit high side
Din Tai Fung 鼎泰豐 at The Gardens Mall,food,54,grill pork delicious food ok service good environment good food good especially fried rice n long bean fried minced meat steam siew long pau ginger good,food service great xiao long bao must order dish yummy fried rice really fragrant shaoshing wine chicken great appetizer like cold dish flavorful order pot good chinese tea wash oiliness famous xiao long pao restaurant garden always packed service quite fast efficient served best sour spicy soup tried soup many restaurant cooked best famous xiao long pao restaurant garden always packed service quite fast efficient served best sour spicy soup tried soup many restaurant cooked best rich creamy soup full taste sour spicy another must try item fried rice many type egg fried rice delicious place little pricey quality food well worth
Din Tai Fung 鼎泰豐 at The Gardens Mall,service,25,food service fantastic food service satisfiedhighly recommended,food service fantastic fast service numbering queue eatable food xiao long bao good
Din Tai Fung 鼎泰豐 at The Gardens Mall,atmosphere,8,top notch service always food tasty ambience comfortable food still taste ok price always high side comfortable setting seating staff generally well trained safety sop food still taste ok price always high side comfortable setting seating staff generally well trained safety sop ok biggest gripe owner year even pandemic still accept cash payment everyone else switching e wallet kiasu owner even offer cc payment c mon la bos really wan na save bank charge badly,top notch service always food tasty ambience comfortable food get cold due serving seat setting crowded along noisy dining room
Din Tai Fung 鼎泰豐 at The Gardens Mall,price,9,service fast efficient food quality worth price service good food good previous visit price expensive,good food reasonable price tendto extremely noisy holiday service fast efficient food quality worth price
Positano Risto @ Publika,food,42,delicious affordable food delicious magherita pizza halal italian food muslim,delicious magherita pizza halal italian food muslim really love food highly recommended portion quite good price paid love especially seafood soup pesto ordered also superb seafood risotto taste quite seafood soup though good definitely back
Positano Risto @ Publika,service,39,good food nice ambiance attentive friendly staff nice environment friendly staff food nice great pizza,nice environment friendly staff food nice great pizza without doubt one best service waiter waitress really making effort make feel comfortable ordered lamb shank beef ball think well cooked way like ambience picture perfect fancy italian restaurant
Positano Risto @ Publika,atmosphere,10,good food great ambiance good date special occasion family nice cozy place eat italian food,love food ambience comfy suitable family occasion bit hard find parking either park publika mall easiest way park valet besides restaurant rm per entry nice environment quiet food good pretty standard taste similar place good service
Positano Risto @ Publika,price,11,food delicious price bit expensive overall good experience price little bit expensive worth price staff well trained cobsiderate serve fast,food delicious price bit expensive overall good experience mean gon na serve rm pasta better make sure goood sauce diluted carbonara atrocious rather pasta fahrenheit half price wayyyyyyy better fresher
Sri Nirwana Maju Restaurant - Bangsar,food,67,rm set banana leaf rice rice vegetable rm chicken dish one time thing delicious banana leaf rice small serving lamb octopus dish,rm set banana leaf rice rice vegetable rm chicken dish one time thing love place many others make restaurant always busy food portion given generously taste good best served
Sri Nirwana Maju Restaurant - Bangsar,service,18,long queue peak hour serve food banana leaf crowded fast service fried cucumber really nice average food high price wheelchair friendly wait like minute get seated mind long get good food sadly get flavour expected restaurant around area offer food much tastier food,long queue peak hour serve food banana leaf crowded fast service fried cucumber really nice overall food average rasam good though service ok people tend line lunch time time wait time table shorter bit pricy normal indian shop around kl
Sri Nirwana Maju Restaurant - Bangsar,atmosphere,5,time banana leaf rice curry place kl since lived kl would weekly stop weekend everyone time banana leaf rice curry place kl since lived kl would weekly stop weekend everyone visitor friend family used bring try banana leaf meal must try visitor even left kept visiting kl often would visit place one favorite place kl love mutton wait travel back kl go banana leaf fix one best indian restaurant bangsar love nasi goreng kambing kambing varuval food served banana leaf great place must try,nice food clean st visit mco although bit long queue quite fast get seat arrived around pm briyani rice already finished one best indian restaurant bangsar love nasi goreng kambing kambing varuval food served banana leaf great place must try
Sri Nirwana Maju Restaurant - Bangsar,price,7,st timer tourist one best maybe due hype maybe due long que maybe due small place regular banana leaf lover bad food price ridiculously high st timer tourist one best maybe due hype maybe due long que maybe due small place regular banana leaf lover bad food price ridiculously high maybe due high rental due location price many curry house offer better value nicer taste one best banana leaf cuisine kl price high side people easily forked rm,food great fried veggie crunchy bill quite expensive personally nirvana taipan better bangsar one best banana leaf cuisine kl price high side people easily forked rm
Naughty Nuri's @ Atria Shopping Gallery(Non Halal),food,33,good restaurant pork rib drink delicious crispy pork many good food tasty,food good pork rib done meat slide bone easily great friendly service great selection balinese dish fried rice deep fried intestine
Naughty Nuri's @ Atria Shopping Gallery(Non Halal),service,27,good service good food food good staff friendly,good service good food nice friendly staff especially reycheeles rib delicious flaming chicken
Naughty Nuri's @ Atria Shopping Gallery(Non Halal),atmosphere,4,great food environment like pork rib indonesian food place famous pork rib everyone plan visit good place family friend matter big party,like pork rib indonesian food place famous pork rib everyone plan visit good place family friend matter big party good food little loud usual eating establishment
Naughty Nuri's @ Atria Shopping Gallery(Non Halal),price,5,expensive worth money reasonable food good,balinese style restaurant famous pork rib mee goreng price little expensive worth money staff especially helpful dedicated occasionally dancing performance make day forget order signature cocktail lychee martini wait little surprise reasonable food good
Restoran Mum's Place,food,52,quite spicy food delicious food tasty staff nice,one favourite restaurant great place like spicy food delicious nyonya food malaysia must try signature sambal chili fish daunnkeledek
Restoran Mum's Place,service,23,good food service good restaurant good service good food,good food service many giving great review place nice place go eat disappointed dish superb delicious especially curry rendang besides service staff good friendly highly recommended
Restoran Mum's Place,atmosphere,9,nice food nice environment nice portuguese food cosy environment,good food little mild though nice easy ambiance nice food nice environment
Restoran Mum's Place,price,7,food good value great spicy food reasonable price,great spicy food reasonable price good food slightly expensive
Ah Sang Bak Kut Teh,food,57,soup herbal taste strong like much loved herbal bak kut teh soup like herbal soup highly recommended,taste good prefer klang taste one best place bak kut teh strong thick flavored soup
Ah Sang Bak Kut Teh,service,13,bah kut teh good dry pork soup good service friendly place serve reasonable nice bak kut teh place clean service good,bah kut teh good dry pork soup good service friendly food service nice food served promptly highly recommend
Ah Sang Bak Kut Teh,atmosphere,2,one best bkt klang valley year sg way bkt lover come try lunch time crowded clean big restaurant plentiful parking opposite restaurant well known good bak kut teh since year ago find special maybe personal problem medium pricing,one best bkt klang valley year sg way bkt lover come try lunch time crowded clean big restaurant plentiful parking opposite restaurant well known good bak kut teh since year ago find special maybe personal problem medium pricing
Ah Sang Bak Kut Teh,price,11,nice traditional local malaysian chinese food reasonable price delicious bat kut teh reasonable price,delicious bat kut teh reasonable price nice traditional local malaysian chinese food reasonable price
The Daily Grind Bangsar,food,33,good vegetarian burger good menu great food,go spot burger triple stack burger sweet potato chip pickle andnifnits cheat meal day strawberry waffle dessert absolutely delicious staff also friendly point great burger understatedly good fried chicken cake
The Daily Grind Bangsar,service,17,good food service coming year burger good good service nice environment good food pricey,great dining experience staff friendly attentive good service nice environment good food pricey
The Daily Grind Bangsar,atmosphere,8,love since first day ate classic waffle deceased friend almarhum kaza go place family whenever crave burger waffle bangsar restaurant much special u love since first day ate classic waffle deceased friend almarhum kaza go place family whenever crave burger waffle bangsar restaurant much special u stuff seen daughter growing since baby till old burger portion massive classic waffle make fall love waffle ambience nice stuff fantastic reliable place burger twist nice atmosphere interior good service feel like quality dropped slightly though,reliable place burger twist nice atmosphere interior good service feel like quality dropped slightly though good food nice environment pricey serving size suitable price would recommend special occasion instead quick bite
The Daily Grind Bangsar,price,8,great burger little bit costly worth price burger shake best obviously price little bangsar worth taste quality,quite bland fry crispy rather super soft liked bun came dry super disappointed maybe place among best year back whatever definitely peeled quite bland fry crispy rather super soft liked bun came dry super disappointed maybe place among best year back whatever definitely peeled many expectation coming tonight leaving totally unsatisfied owner please mystery quality check really wish best quality standard rather stay away way expensive bland dry stuff served great burger little bit costly worth price
33 Blue Room,food,37,food delicious nice environment even take away food put effort plating good taste food reasonable pricing,celebrated girlfriend birthday made reservation day earlier seated upstairs request yeah quieter romantic upstairs ordered pork loin steak squid bacon wrapped sausage celebrated girlfriend birthday made reservation day earlier seated upstairs request yeah quieter romantic upstairs ordered pork loin steak squid bacon wrapped sausage mushroom soup plus glass overall great experience attentive service relaxing ambience wish quieter good fantastic food least table celebrated birthday well clearly popular choice birthday celebration set lunch menu well look good try next time food delicious nice environment
33 Blue Room,service,31,great environment nice food good service great service amazing food,food delicious staff friendly great environment nice food good service
33 Blue Room,atmosphere,29,nice place hangout food environment nice good ambience good food pizza fine,nice place hangout food environment nice good ambience good food pizza fine
33 Blue Room,price,9,good place visit nice food fair price good ambiance best service fourth time visiting reached pm thursday full house recommended make reservation food great reasonable price set lunch rm rm drink portion huge nice plating fourth time visiting reached pm thursday full house recommended make reservation food great reasonable price set lunch rm rm drink portion huge nice plating staff attentive friendly great place almost kind occasion nice ambience overall visit,great ambience service food generous portion nice plating worth price set lunch available everyday come selection drink personally would recommend mint lemon tea surprisingly great ambience service food generous portion nice plating worth price set lunch available everyday come selection drink personally would recommend mint lemon tea surprisingly good pizza also amazing better make reservation convenient dropping message facebook amazing place great friendly atmosphere people nice wide choice food price reasonable place one could chill
Skillet KL,food,42,tasty food good tasty food,choose course lunch paid around rm pax menu change based season start free called appetizer fixed next appetizer choose pumpkin soup soup today iran choose course lunch paid around rm pax menu change based season start free called appetizer fixed next appetizer choose pumpkin soup soup today iran caviar pumpkin soup milky opinion iran caviar taste wonderful first time creative potato dish match caviar really unforgettable taste time main dish choose chicken lamb main course doubt delicious lastly dessert carrot cake mont blanc normal nothing surprise dessert love attitude serve customer overall dining experience skilful satisfyingly good tasty food
Skillet KL,service,35,excellent food service good food excellent service,good food excellent service love every bite happening place friendly staff great experience especially ordered dessert
Skillet KL,atmosphere,11,beautiful place good nice ambience outside area recommend day became bit oven hot day like today nice ambience outside area recommend day became bit oven hot day like today food wise good salmon beet appetizer give seafood risotto needed bit oomph though presentation top notch,beautiful place good awesome environment dining
Skillet KL,price,11,lovely food reasonable price nice food good service worth price,barramundi food alright opinion price much better option nice food good service worth price
Unique Seafood PJ23,food,39,food tasty good service lobster noods crab prawn seafood lobster noods crab prawn seafood dish great,best get really good live seafood really good service clean spacious bright steam fish cooked soy sauce another one deep fried prawn fruit platter end overall satisfying experience place biggest variety seafood ever seen felt like aquarium food course fresh taste great good age better come group try dish
Unique Seafood PJ23,service,26,great food good service good seafood restaurant attentive service,great food good service fresh seafood awesome food attentive service staff love
Unique Seafood PJ23,atmosphere,4,food good place clean price abit premium everything freshly serf nice place food ok try butter prawn tasty ambiance typical chinese seafood restaurant parking space limited valet parking service available good time,nice place food ok try butter prawn tasty ambiance typical chinese seafood restaurant parking space limited valet parking service available good time food good place clean price abit premium everything freshly serf
Unique Seafood PJ23,price,22,best seafood restaurant fresh live seafood bit high price worth great seafood average high price,food expensive need pay parking fee best seafood restaurant fresh live seafood bit high price worth
Grub by Ahong & Friends,food,73,food fast taste good apple sauce went really well steak well far food quality good good size portion,food fast taste good apple sauce went really well steak well ordered fried quail yorkshire pudding bread side dish ribeye wagyu main everything rm ish ordered fried quail yorkshire pudding bread side dish ribeye wagyu main everything rm ishoverall price affordable fried quail delicious right amount crispy favourite part meal potato salad vegetable came main wagyu meh passable
Grub by Ahong & Friends,service,10,although forgot book table server led u ground floor table proceeded order wagyu pasta name forgot good dining experience overall nice beef great atmosphere friendly staff bustling kitchen importantly good food meat good standard done well medium rare although closer rare issue great atmosphere friendly staff bustling kitchen importantly good food meat good standard done well medium rare although closer rare issue tech savvy ordering beep app awesome really appreciate got going ah hong kudos friend keeping great standard godspeed future endeavour,quick service tender flavorful cut beef reasonable price enjoyed beet salad staff good job done cafe opposite row sell wonderful cake coffee place said notorious even get table without reservation come high expectation table service sorry say disappointed everything cutlery place said notorious even get table without reservation come high expectation table service sorry say disappointed everything cutlery water self service kitchen floor air conditioned floor take board go order fill table number get cutlery drink wait turned place let know food talking service first taste wagyu mediocre say least since moving teenage year never order well done today medium rare tick spot tender juicy gaminess cow smell feel oomph feel good factor sitting think figured used gamey smell without felt something missing wagyu devoid gamey smell characteristic meat hardly fault chef g wagyu flank set back rm whilst cheaper wagyu rump set back rm exorbitantly expensive tasted kobe beef suggest interested frill dining reserve table dinner walk lunch fame fortune around corner act fast edited tableapp need go facebook select date pay rm deposit per person make sure remind deposit paying bill
Grub by Ahong & Friends,atmosphere,7,walked past time without realizing restaurant looking front restaurant deceptive look like traditional sundry shop found decided try tomahawk good enough family walked past time without realizing restaurant looking front restaurant deceptive look like traditional sundry shop found decided try tomahawk good enough family four restaurant self service downstairs air conditioning however good food make spartan look great place steak would recommend make reservation get pretty crowded,highly recommended friend tried several time book last minute fully booked frill restaurant judging packed crowd many seem undeter rather stuffy environment probably unfortunate highly recommended friend tried several time book last minute fully booked frill restaurant judging packed crowd many seem undeter rather stuffy environment probably unfortunate table direct aircondition unit first time u manage order signature beef rib instead wagyu ribeyes food okay comment chance test signature dish star environment experienced great place steak would recommend make reservation get pretty crowded
Grub by Ahong & Friends,price,13,frill restaurant food mediocre reasonable price portion good frill restaurant food mediocre reasonable price portion good surprisingly fry really good came try famous steak food good super affordable price came try famous steak food good super affordable price systematic food ordering method online super fast convenient book table earlier get crowded weekend,crazy value money love meat want pay exorbitant price place crazy value money love meat want pay exorbitant price place ordered striploin medium well chef nailed seasoned well others utterly delicious generous portion affordable pricing good food crowd follows make reservation especially weekend people mountain people sea even weekday wow friend reservation small fee deposited cutlery service ordered many heart content awwww gam dong p welcome note cute btw poor engrish frill restaurant food mediocre reasonable price portion good frill restaurant food mediocre reasonable price portion good surprisingly fry really good
leaf & co. cafe,food,40,charming place good food recomend try rose latte unusual tasty good place dinner food tasty salted egg croissant must soo good,ambience great top service worker food excellent price definitely cheap considering taste portion satay thick delicious fried chicken chop resembles taste kfc really loved evrything cafe cafe hunter really try cafe came coffee dessert thought try fun speciality drink toffee nut latte think coffee good syrup strange strange floral taste came coffee dessert thought try fun speciality drink toffee nut latte think coffee good syrup strange strange floral taste come environment old school hipster vibe sure food coffee
leaf & co. cafe,service,25,atmosphere impressive food service good good environment drink ok service good,cozy ambience friendly staff nice music atmosphere impressive food service good
leaf & co. cafe,atmosphere,24,love food ambience loved vibe interior cafe nice food drink good,third time really great place decoration concept classic beautiful like food also bad food ordered tasty amazing satisfying suitable price even quiet pricey service quiet slow sometimes slow loved vibe interior cafe nice food drink good
leaf & co. cafe,price,6,tourist spot cafe nothing good term food drink price another cosy cafe opened malaysian tastefully using old building part deco food portion good reasonable respectively drink average strongly urge malaysian explore eatery along petaling street area might find another gem serf good food reasonable price,tourist spot cafe nothing good term food drink price another cosy cafe opened malaysian tastefully using old building part deco food portion good reasonable respectively drink average strongly urge malaysian explore eatery along petaling street area might find another gem serf good food reasonable price
Pinchos Tapas Bar,food,24,good delicious tapa delicious n good size serving meal,good delicious tapa absolutely love food bit pricey side food lovely
Pinchos Tapas Bar,service,21,good food service reasonably good food drink service fast,excellent tapa great atmosphere fantastic friendly staff good service reasonably good food drink service fast
Pinchos Tapas Bar,atmosphere,17,great atmosphere good tapa nice food good atmosphere chilling work,nice food good atmosphere chilling work awesome food consistently prepared great drink ambiance bad review seem odd place different
Pinchos Tapas Bar,price,7,best tapa kl bit expensive best tapa kl food delicious good value money,food great choice tapa nothing complaint except alcohol little expensive compared restaurant back tapa best tapa kl bit expensive
Botanica + Co at Bangsar South,food,56,nice place portion huge fish florentine good nice place brunch food average really big portion salad served,still amazing month since last visit restaurant still amazes magnificent pizza last night hand tossed baked fresh front u came back today still amazing month since last visit restaurant still amazes magnificent pizza last night hand tossed baked fresh front u came back today lunch best christmas turkey lunch ever amazing stuffing caramelized brusselsprouts guessed amazing lovely environment staff great food fair price quality food portion big good sharing nice place bday celebration friend gathering forget reserve going always pack even weekday food portion big good sharing nice place bday celebration friend gathering forget reserve going always pack even weekday love fish chip truffle fry cocktail
Botanica + Co at Bangsar South,service,22,nice place eat chat food service good nice ambience lovely generally good food little hiccup service improved,nice place eat chat food service good food okay delicious like pizza price also bad reasonable overall food price okay service think need improve service waiting time quiet long staff helpful less friendly hope help cafe improve service
Botanica + Co at Bangsar South,atmosphere,19,great food ambience quite pricey great food care food selection good ambience great,ambiance brilliant place beautiful say least real living plant nice decour food rather disappointing quite mediocre drink pretty nice people go restaurant ambiance brilliant place beautiful say least real living plant nice decour food rather disappointing quite mediocre drink pretty nice people go restaurant instagram worthy tell wrong also place filled people birthday party food decently priced food selection good ambience great
Botanica + Co at Bangsar South,price,7,great foodreasonable price unprofessional restaurant ever come contact boyfriend birthday wanted order biggest mistake placed order pm pm told u cancelled order unprofessional restaurant ever come contact boyfriend birthday wanted order biggest mistake placed order pm pm told u cancelled order order whole family btw cafe everywhere already close right mind would accept order cancel hour later bother wasting money tell food overpriced mediocre best please try cafe kl get money worth,unprofessional restaurant ever come contact boyfriend birthday wanted order biggest mistake placed order pm pm told u cancelled order unprofessional restaurant ever come contact boyfriend birthday wanted order biggest mistake placed order pm pm told u cancelled order order whole family btw cafe everywhere already close right mind would accept order cancel hour later bother wasting money tell food overpriced mediocre best please try cafe kl get money worth great foodreasonable price
Entier French Dining,food,50,exceptional lunch menu set menu great value ambience lovely delicious food recommended,food great service fantastic lunch menu set start course menu reasonable seafood cuttlefish starter good fish beef lamb recommended dish main chocolate banana dessert food great service fantastic lunch menu set start course menu reasonable seafood cuttlefish starter good fish beef lamb recommended dish main chocolate banana dessert speciality well view great high level pleasant dining experience welcome large small group food good great friendly prompt service favourite dish would beetroot salad surprisingly delicious would definitely go back one also house truffle butter yummy
Entier French Dining,service,29,excellent service great food nice ambience st time visit french restaurant expected service food average,always frequent place lunch experience always great good food good service amazing ambience back dinner soon restaurant located st floor alila hotel lunch course menu highly recommended worth money waiter friendly explain food served highly enjoy meal everything well restaurant located st floor alila hotel lunch course menu highly recommended worth money waiter friendly explain food served highly enjoy meal everything well expectation particular bread butter awesome start tomato starter great surprise love lamb main
Entier French Dining,atmosphere,14,came lunch nice ambience pretty appetizing food presentation good food beautiful ambience great food good service reasonable price,came lunch nice ambience pretty appetizing food presentation good food great food top quality view ok enjoyed atmosphere
Entier French Dining,price,7,delicious food impeccable service lunch set super value money would recommend excellent food ambience service price reasonable celebrated anniversary restaurant table last week gentleman served table beyond expectation excellent food ambience service price reasonable celebrated anniversary restaurant table last week gentleman served table beyond expectation thanks complementary sparkling wine wine dessert hghly recommend,delicious food impeccable service lunch set super value money would recommend excellent food ambience service price reasonable celebrated anniversary restaurant table last week gentleman served table beyond expectation excellent food ambience service price reasonable celebrated anniversary restaurant table last week gentleman served table beyond expectation thanks complementary sparkling wine wine dessert hghly recommend
Restaurant Gold Dragon City,food,36,delicious chinese dish served nice food big portion,restaurant long remember used packed people mco getting quiet time visit support local business set dinner person rm restaurant long remember used packed people mco getting quiet time visit support local business set dinner person rm steam fish buttermilk prawn great fresh nicely cooked dish nice give try food tasty served fast good experience family
Restaurant Gold Dragon City,service,25,service food good food good price good service,service food good food staff especially captain easily bad mood peak hour bear good visit
